Date,Time,Time Interval,Number of Swipes,Dining Hall,Month of the Year,Dining Menu Quality,Exam/Reading Period or Weekend,Number of Students on Campus,Campus Events with Takeout Food,Number of Students on Declining Balance
9/11/24,18:00,5,273,1,9,3,0,1711,0,1600
9/11/24,18:00,5,232,0,9,3,0,1711,0,1600
9/11/24,18:15,6,292,1,9,3,0,1711,0,1600
9/11/24,18:15,6,245,0,9,3,0,1711,0,1600
9/11/24,18:30,7,302,1,9,3,0,1711,0,1600
9/11/24,18:30,7,231,0,9,3,0,1711,0,1600
9/11/24,18:45,8,143,1,9,3,0,1711,0,1600
9/11/24,18:45,8,118,0,9,3,0,1711,0,1600
9/11/24,19:00,9,121,1,9,3,0,1711,0,1600
9/11/24,19:00,9,117,0,9,3,0,1711,0,1600
9/11/24,19:15,10,92,1,9,3,0,1711,0,1600
9/11/24,19:15,10,86,0,9,3,0,1711,0,1600
9/11/24,19:30,11,173,1,9,3,0,1711,0,1600
9/11/24,19:30,11,135,0,9,3,0,1711,0,1600
9/11/24,19:45,12,150,1,9,3,0,1711,0,1600
9/11/24,19:45,12,149,0,9,3,0,1711,0,1600
9/12/24,17:00,1,109,1,9,3,0,1711,1,1600
9/12/24,17:00,1,137,0,9,3,0,1711,1,1600
9/12/24,17:15,2,93,1,9,3,0,1711,1,1600
9/12/24,17:15,2,102,0,9,3,0,1711,1,1600
9/12/24,17:30,3,112,1,9,3,0,1711,1,1600
9/12/24,17:30,3,101,0,9,3,0,1711,1,1600
9/12/24,17:45,4,127,1,9,3,0,1711,1,1600
9/12/24,17:45,4,97,0,9,3,0,1711,1,1600
9/12/24,18:00,5,183,1,9,3,0,1711,1,1600
9/12/24,18:00,5,225,0,9,3,0,1711,1,1600
9/12/24,18:15,6,184,1,9,3,0,1711,1,1600
9/12/24,18:15,6,206,0,9,3,0,1711,1,1600
9/12/24,18:30,7,172,1,9,3,0,1711,1,1600
9/12/24,18:30,7,206,0,9,3,0,1711,1,1600
9/12/24,18:45,8,105,1,9,3,0,1711,1,1600
9/12/24,18:45,8,107,0,9,3,0,1711,1,1600
9/12/24,19:00,9,101,1,9,3,0,1711,1,1600
9/12/24,19:00,9,90,0,9,3,0,1711,1,1600
9/12/24,19:15,10,117,1,9,3,0,1711,1,1600
9/12/24,19:15,10,114,0,9,3,0,1711,1,1600
9/12/24,19:30,11,119,1,9,3,0,1711,1,1600
9/12/24,19:30,11,103,0,9,3,0,1711,1,1600
9/12/24,19:45,12,108,1,9,3,0,1711,1,1600
9/12/24,19:45,12,94,0,9,3,0,1711,1,1600
9/13/24,17:00,1,112,1,9,2,0,1711,0,1600
9/13/24,17:00,1,89,0,9,2,0,1711,0,1600
9/13/24,17:15,2,173,1,9,2,0,1711,0,1600
9/13/24,17:15,2,118,0,9,2,0,1711,0,1600
9/13/24,17:30,3,144,1,9,2,0,1711,0,1600
9/13/24,17:30,3,112,0,9,2,0,1711,0,1600
9/13/24,17:45,4,166,1,9,2,0,1711,0,1600
9/13/24,17:45,4,125,0,9,2,0,1711,0,1600
9/13/24,18:00,5,266,1,9,2,0,1711,0,1600
9/13/24,18:00,5,247,0,9,2,0,1711,0,1600
9/13/24,18:15,6,289,1,9,2,0,1711,0,1600
9/13/24,18:15,6,229,0,9,2,0,1711,0,1600
9/13/24,18:30,7,240,1,9,2,0,1711,0,1600
9/13/24,18:30,7,225,0,9,2,0,1711,0,1600
9/13/24,18:45,8,149,1,9,2,0,1711,0,1600
9/13/24,18:45,8,121,0,9,2,0,1711,0,1600
9/13/24,19:00,9,143,1,9,2,0,1711,0,1600
9/13/24,19:00,9,121,0,9,2,0,1711,0,1600
9/13/24,19:15,10,115,1,9,2,0,1711,0,1600
9/13/24,19:15,10,110,0,9,2,0,1711,0,1600
9/13/24,19:30,11,125,1,9,2,0,1711,0,1600
9/13/24,19:30,11,110,0,9,2,0,1711,0,1600
9/13/24,19:45,12,145,1,9,2,0,1711,0,1600
9/13/24,19:45,12,99,0,9,2,0,1711,0,1600
9/16/24,17:00,1,160,1,9,3,0,1711,0,1600
9/16/24,17:00,1,126,0,9,3,0,1711,0,1600
9/16/24,17:15,2,174,1,9,3,0,1711,0,1600
9/16/24,17:15,2,130,0,9,3,0,1711,0,1600
9/16/24,17:30,3,146,1,9,3,0,1711,0,1600
9/16/24,17:30,3,128,0,9,3,0,1711,0,1600
9/16/24,17:45,4,187,1,9,3,0,1711,0,1600
9/16/24,17:45,4,134,0,9,3,0,1711,0,1600
9/16/24,18:00,5,321,1,9,3,0,1711,0,1600
9/16/24,18:00,5,221,0,9,3,0,1711,0,1600
9/16/24,18:15,6,350,1,9,3,0,1711,0,1600
9/16/24,18:15,6,250,0,9,3,0,1711,0,1600
9/16/24,18:30,7,255,1,9,3,0,1711,0,1600
9/16/24,18:30,7,231,0,9,3,0,1711,0,1600
9/16/24,18:45,8,186,1,9,3,0,1711,0,1600
9/16/24,18:45,8,147,0,9,3,0,1711,0,1600
9/16/24,19:00,9,149,1,9,3,0,1711,0,1600
9/16/24,19:00,9,150,0,9,3,0,1711,0,1600
9/16/24,19:15,10,179,1,9,3,0,1711,0,1600
9/16/24,19:15,10,122,0,9,3,0,1711,0,1600
9/16/24,19:30,11,150,1,9,3,0,1711,0,1600
9/16/24,19:30,11,114,0,9,3,0,1711,0,1600
9/16/24,19:45,12,156,1,9,3,0,1711,0,1600
9/16/24,19:45,12,139,0,9,3,0,1711,0,1600
9/17/24,17:00,1,141,1,9,3,0,1711,0,1600
9/17/24,17:00,1,139,0,9,3,0,1711,0,1600
9/17/24,17:15,2,183,1,9,3,0,1711,0,1600
9/17/24,17:15,2,110,0,9,3,0,1711,0,1600
9/17/24,17:30,3,186,1,9,3,0,1711,0,1600
9/17/24,17:30,3,111,0,9,3,0,1711,0,1600
9/17/24,17:45,4,162,1,9,3,0,1711,0,1600
9/17/24,17:45,4,123,0,9,3,0,1711,0,1600
9/17/24,18:00,5,309,1,9,3,0,1711,0,1600
9/17/24,18:00,5,236,0,9,3,0,1711,0,1600
9/17/24,18:15,6,270,1,9,3,0,1711,0,1600
9/17/24,18:15,6,250,0,9,3,0,1711,0,1600
9/17/24,18:30,7,282,1,9,3,0,1711,0,1600
9/17/24,18:30,7,250,0,9,3,0,1711,0,1600
9/17/24,18:45,8,118,1,9,3,0,1711,0,1600
9/17/24,18:45,8,123,0,9,3,0,1711,0,1600
9/17/24,19:00,9,161,1,9,3,0,1711,0,1600
9/17/24,19:00,9,126,0,9,3,0,1711,0,1600
9/17/24,19:15,10,135,1,9,3,0,1711,0,1600
9/17/24,19:15,10,132,0,9,3,0,1711,0,1600
9/17/24,19:30,11,165,1,9,3,0,1711,0,1600
9/17/24,19:30,11,122,0,9,3,0,1711,0,1600
9/17/24,19:45,12,193,1,9,3,0,1711,0,1600
9/17/24,19:45,12,108,0,9,3,0,1711,0,1600
9/18/24,17:00,1,150,1,9,3,0,1711,0,1600
9/18/24,17:00,1,107,0,9,3,0,1711,0,1600
9/18/24,17:15,2,149,1,9,3,0,1711,0,1600
9/18/24,17:15,2,168,0,9,3,0,1711,0,1600
9/18/24,17:30,3,164,1,9,3,0,1711,0,1600
9/18/24,17:30,3,110,0,9,3,0,1711,0,1600
9/18/24,17:45,4,169,1,9,3,0,1711,0,1600
9/18/24,17:45,4,138,0,9,3,0,1711,0,1600
9/18/24,18:00,5,262,1,9,3,0,1711,0,1600
9/18/24,18:00,5,250,0,9,3,0,1711,0,1600
9/18/24,18:15,6,325,1,9,3,0,1711,0,1600
9/18/24,18:15,6,250,0,9,3,0,1711,0,1600
9/18/24,18:30,7,289,1,9,3,0,1711,0,1600
9/18/24,18:30,7,250,0,9,3,0,1711,0,1600
9/18/24,18:45,8,149,1,9,3,0,1711,0,1600
9/18/24,18:45,8,122,0,9,3,0,1711,0,1600
9/18/24,19:00,9,158,1,9,3,0,1711,0,1600
9/18/24,19:00,9,130,0,9,3,0,1711,0,1600
9/18/24,19:15,10,148,1,9,3,0,1711,0,1600
9/18/24,19:15,10,110,0,9,3,0,1711,0,1600
9/18/24,19:30,11,139,1,9,3,0,1711,0,1600
9/18/24,19:30,11,137,0,9,3,0,1711,0,1600
9/18/24,19:45,12,160,1,9,3,0,1711,0,1600
9/18/24,19:45,12,101,0,9,3,0,1711,0,1600
9/19/24,17:00,1,173,1,9,4,0,1711,0,1600
9/19/24,17:00,1,127,0,9,4,0,1711,0,1600
9/19/24,17:15,2,191,1,9,4,0,1711,0,1600
9/19/24,17:15,2,129,0,9,4,0,1711,0,1600
9/19/24,17:30,3,193,1,9,4,0,1711,0,1600
9/19/24,17:30,3,141,0,9,4,0,1711,0,1600
9/19/24,17:45,4,173,1,9,4,0,1711,0,1600
9/19/24,17:45,4,138,0,9,4,0,1711,0,1600
9/19/24,18:00,5,350,1,9,4,0,1711,0,1600
9/19/24,18:00,5,250,0,9,4,0,1711,0,1600
9/19/24,18:15,6,350,1,9,4,0,1711,0,1600
9/19/24,18:15,6,250,0,9,4,0,1711,0,1600
9/19/24,18:30,7,350,1,9,4,0,1711,0,1600
9/19/24,18:30,7,250,0,9,4,0,1711,0,1600
9/19/24,18:45,8,163,1,9,4,0,1711,0,1600
9/19/24,18:45,8,132,0,9,4,0,1711,0,1600
9/19/24,19:00,9,167,1,9,4,0,1711,0,1600
9/19/24,19:00,9,136,0,9,4,0,1711,0,1600
9/19/24,19:15,10,174,1,9,4,0,1711,0,1600
9/19/24,19:15,10,146,0,9,4,0,1711,0,1600
9/19/24,19:30,11,195,1,9,4,0,1711,0,1600
9/19/24,19:30,11,119,0,9,4,0,1711,0,1600
9/19/24,19:45,12,145,1,9,4,0,1711,0,1600
9/19/24,19:45,12,116,0,9,4,0,1711,0,1600
9/20/24,17:00,1,202,1,9,3,0,1711,0,1600
9/20/24,17:00,1,101,0,9,3,0,1711,0,1600
9/20/24,17:15,2,173,1,9,3,0,1711,0,1600
9/20/24,17:15,2,131,0,9,3,0,1711,0,1600
9/20/24,17:30,3,150,1,9,3,0,1711,0,1600
9/20/24,17:30,3,113,0,9,3,0,1711,0,1600
9/20/24,17:45,4,167,1,9,3,0,1711,0,1600
9/20/24,17:45,4,151,0,9,3,0,1711,0,1600
9/20/24,18:00,5,325,1,9,3,0,1711,0,1600
9/20/24,18:00,5,218,0,9,3,0,1711,0,1600
9/20/24,18:15,6,288,1,9,3,0,1711,0,1600
9/20/24,18:15,6,241,0,9,3,0,1711,0,1600
9/20/24,18:30,7,315,1,9,3,0,1711,0,1600
9/20/24,18:30,7,242,0,9,3,0,1711,0,1600
9/20/24,18:45,8,188,1,9,3,0,1711,0,1600
9/20/24,18:45,8,133,0,9,3,0,1711,0,1600
9/20/24,19:00,9,175,1,9,3,0,1711,0,1600
9/20/24,19:00,9,116,0,9,3,0,1711,0,1600
9/20/24,19:15,10,182,1,9,3,0,1711,0,1600
9/20/24,19:15,10,122,0,9,3,0,1711,0,1600
9/20/24,19:30,11,140,1,9,3,0,1711,0,1600
9/20/24,19:30,11,113,0,9,3,0,1711,0,1600
9/20/24,19:45,12,150,1,9,3,0,1711,0,1600
9/20/24,19:45,12,115,0,9,3,0,1711,0,1600
9/23/24,17:00,1,161,1,9,3,0,1711,0,1600
9/23/24,17:00,1,125,0,9,3,0,1711,0,1600
9/23/24,17:15,2,189,1,9,3,0,1711,0,1600
9/23/24,17:15,2,145,0,9,3,0,1711,0,1600
9/23/24,17:30,3,154,1,9,3,0,1711,0,1600
9/23/24,17:30,3,115,0,9,3,0,1711,0,1600
9/23/24,17:45,4,159,1,9,3,0,1711,0,1600
9/23/24,17:45,4,137,0,9,3,0,1711,0,1600
9/23/24,18:00,5,253,1,9,3,0,1711,0,1600
9/23/24,18:00,5,238,0,9,3,0,1711,0,1600
9/23/24,18:15,6,270,1,9,3,0,1711,0,1600
9/23/24,18:15,6,250,0,9,3,0,1711,0,1600
9/23/24,18:30,7,346,1,9,3,0,1711,0,1600
9/23/24,18:30,7,250,0,9,3,0,1711,0,1600
9/23/24,18:45,8,162,1,9,3,0,1711,0,1600
9/23/24,18:45,8,125,0,9,3,0,1711,0,1600
9/23/24,19:00,9,164,1,9,3,0,1711,0,1600
9/23/24,19:00,9,116,0,9,3,0,1711,0,1600
9/23/24,19:15,10,172,1,9,3,0,1711,0,1600
9/23/24,19:15,10,98,0,9,3,0,1711,0,1600
9/23/24,19:30,11,134,1,9,3,0,1711,0,1600
9/23/24,19:30,11,116,0,9,3,0,1711,0,1600
9/23/24,19:45,12,137,1,9,3,0,1711,0,1600
9/23/24,19:45,12,95,0,9,3,0,1711,0,1600
9/24/24,17:00,1,197,1,9,3,0,1711,0,1600
9/24/24,17:00,1,120,0,9,3,0,1711,0,1600
9/24/24,17:15,2,138,1,9,3,0,1711,0,1600
9/24/24,17:15,2,138,0,9,3,0,1711,0,1600
9/24/24,17:30,3,142,1,9,3,0,1711,0,1600
9/24/24,17:30,3,123,0,9,3,0,1711,0,1600
9/24/24,17:45,4,141,1,9,3,0,1711,0,1600
9/24/24,17:45,4,145,0,9,3,0,1711,0,1600
9/24/24,18:00,5,293,1,9,3,0,1711,0,1600
9/24/24,18:00,5,250,0,9,3,0,1711,0,1600
9/24/24,18:15,6,280,1,9,3,0,1711,0,1600
9/24/24,18:15,6,228,0,9,3,0,1711,0,1600
9/24/24,18:30,7,301,1,9,3,0,1711,0,1600
9/24/24,18:30,7,250,0,9,3,0,1711,0,1600
9/24/24,18:45,8,153,1,9,3,0,1711,0,1600
9/24/24,18:45,8,109,0,9,3,0,1711,0,1600
9/24/24,19:00,9,140,1,9,3,0,1711,0,1600
9/24/24,19:00,9,125,0,9,3,0,1711,0,1600
9/24/24,19:15,10,140,1,9,3,0,1711,0,1600
9/24/24,19:15,10,122,0,9,3,0,1711,0,1600
9/24/24,19:30,11,144,1,9,3,0,1711,0,1600
9/24/24,19:30,11,154,0,9,3,0,1711,0,1600
9/24/24,19:45,12,143,1,9,3,0,1711,0,1600
9/24/24,19:45,12,124,0,9,3,0,1711,0,1600
9/25/24,17:00,1,158,1,9,2,0,1711,0,1600
9/25/24,17:00,1,107,0,9,2,0,1711,0,1600
9/25/24,17:15,2,139,1,9,2,0,1711,0,1600
9/25/24,17:15,2,117,0,9,2,0,1711,0,1600
9/25/24,17:30,3,140,1,9,2,0,1711,0,1600
9/25/24,17:30,3,110,0,9,2,0,1711,0,1600
9/25/24,17:45,4,149,1,9,2,0,1711,0,1600
9/25/24,17:45,4,99,0,9,2,0,1711,0,1600
9/25/24,18:00,5,260,1,9,2,0,1711,0,1600
9/25/24,18:00,5,249,0,9,2,0,1711,0,1600
9/25/24,18:15,6,286,1,9,2,0,1711,0,1600
9/25/24,18:15,6,196,0,9,2,0,1711,0,1600
9/25/24,18:30,7,249,1,9,2,0,1711,0,1600
9/25/24,18:30,7,225,0,9,2,0,1711,0,1600
9/25/24,18:45,8,145,1,9,2,0,1711,0,1600
9/25/24,18:45,8,121,0,9,2,0,1711,0,1600
9/25/24,19:00,9,125,1,9,2,0,1711,0,1600
9/25/24,19:00,9,72,0,9,2,0,1711,0,1600
9/25/24,19:15,10,155,1,9,2,0,1711,0,1600
9/25/24,19:15,10,115,0,9,2,0,1711,0,1600
9/25/24,19:30,11,162,1,9,2,0,1711,0,1600
9/25/24,19:30,11,117,0,9,2,0,1711,0,1600
9/25/24,19:45,12,140,1,9,2,0,1711,0,1600
9/25/24,19:45,12,114,0,9,2,0,1711,0,1600
9/26/24,17:00,1,90,1,9,2,0,1711,1,1600
9/26/24,17:00,1,90,0,9,2,0,1711,1,1600
9/26/24,17:15,2,117,1,9,2,0,1711,1,1600
9/26/24,17:15,2,96,0,9,2,0,1711,1,1600
9/26/24,17:30,3,102,1,9,2,0,1711,1,1600
9/26/24,17:30,3,96,0,9,2,0,1711,1,1600
9/26/24,17:45,4,127,1,9,2,0,1711,1,1600
9/26/24,17:45,4,96,0,9,2,0,1711,1,1600
9/26/24,18:00,5,163,1,9,2,0,1711,1,1600
9/26/24,18:00,5,197,0,9,2,0,1711,1,1600
9/26/24,18:15,6,163,1,9,2,0,1711,1,1600
9/26/24,18:15,6,213,0,9,2,0,1711,1,1600
9/26/24,18:30,7,140,1,9,2,0,1711,1,1600
9/26/24,18:30,7,190,0,9,2,0,1711,1,1600
9/26/24,18:45,8,93,1,9,2,0,1711,1,1600
9/26/24,18:45,8,111,0,9,2,0,1711,1,1600
9/26/24,19:00,9,82,1,9,2,0,1711,1,1600
9/26/24,19:00,9,85,0,9,2,0,1711,1,1600
9/26/24,19:15,10,77,1,9,2,0,1711,1,1600
9/26/24,19:15,10,68,0,9,2,0,1711,1,1600
9/26/24,19:30,11,103,1,9,2,0,1711,1,1600
9/26/24,19:30,11,121,0,9,2,0,1711,1,1600
9/26/24,19:45,12,103,1,9,2,0,1711,1,1600
9/26/24,19:45,12,84,0,9,2,0,1711,1,1600
9/27/24,17:00,1,150,1,9,1,0,1711,0,1600
9/27/24,17:00,1,122,0,9,1,0,1711,0,1600
9/27/24,17:15,2,132,1,9,1,0,1711,0,1600
9/27/24,17:15,2,78,0,9,1,0,1711,0,1600
9/27/24,17:30,3,141,1,9,1,0,1711,0,1600
9/27/24,17:30,3,96,0,9,1,0,1711,0,1600
9/27/24,17:45,4,128,1,9,1,0,1711,0,1600
9/27/24,17:45,4,86,0,9,1,0,1711,0,1600
9/27/24,18:00,5,237,1,9,1,0,1711,0,1600
9/27/24,18:00,5,225,0,9,1,0,1711,0,1600
9/27/24,18:15,6,250,1,9,1,0,1711,0,1600
9/27/24,18:15,6,177,0,9,1,0,1711,0,1600
9/27/24,18:30,7,229,1,9,1,0,1711,0,1600
9/27/24,18:30,7,205,0,9,1,0,1711,0,1600
9/27/24,18:45,8,136,1,9,1,0,1711,0,1600
9/27/24,18:45,8,99,0,9,1,0,1711,0,1600
9/27/24,19:00,9,134,1,9,1,0,1711,0,1600
9/27/24,19:00,9,107,0,9,1,0,1711,0,1600
9/27/24,19:15,10,107,1,9,1,0,1711,0,1600
9/27/24,19:15,10,90,0,9,1,0,1711,0,1600
9/27/24,19:30,11,127,1,9,1,0,1711,0,1600
9/27/24,19:30,11,86,0,9,1,0,1711,0,1600
9/27/24,19:45,12,137,1,9,1,0,1711,0,1600
9/27/24,19:45,12,109,0,9,1,0,1711,0,1600
9/30/24,17:00,1,211,1,9,4,0,1711,0,1600
9/30/24,17:00,1,125,0,9,4,0,1711,0,1600
9/30/24,17:15,2,198,1,9,4,0,1711,0,1600
9/30/24,17:15,2,132,0,9,4,0,1711,0,1600
